legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Alan Winde,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,"Minister for Finance,Economic Development & Tourism"
Albert Fritz,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Minister for Social Development
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Education,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Community Development,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Public Accounts Committee,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Disabled and Youth Committee,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Agriculture and environmental Planning,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Cultural Affairs and Sport,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Conduct Committee,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Aesthetics Committee,Committee Member
Alta Rossouw,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Alta Rossouw,,,Political Party,DA,Party Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Legislature Committee,Rules Committee,Alternate Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Health,Alternate Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Legislature Committee,Petitions Committee,Alternate Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Agriculture and environmental Planning,Committee Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Education,Committee Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Social Development,Committee Member
Alta van Zyl,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Alta van Zyl,,,Political Party,COPE,Party Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Legislature Committee,Petitions Committee,Alternate Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Legislature Committee,Conduct Committee,Alternate Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Education,Alternate Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Disabled and Youth Committee,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Cultural Affairs and Sport,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Development,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Anroux Marais,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
