legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
AUCHALIE MOTHUPI,,,Political Party,ANC,Party Member
AUCHALIE MOTHUPI,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the Local Government and Traditional Affairs Executive Committee
AUCHALIE MOTHUPI,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
BOITUMELO MOILOA,,,Political Party,ANC,Party Member
BOITUMELO MOILOA,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
CHINA DODOVU,,,Political Party,ANC,Party Member
CHINA DODOVU,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the Agriculture and Rural Development Executive Committee
CHINA DODOVU,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
CHRIS HATTINGH,,,Political Party,DA,Party Member
CHRIS HATTINGH,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
COLLEN MAINE,,,Political Party,ANC,Party Member
COLLEN MAINE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Social Development
COLLEN MAINE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
DESBO MOHONO,,,Political Party,ANC,Party Member
DESBO MOHONO,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Agriculture and Rural Development
DESBO MOHONO,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
DR. MAGOME MASIKE,,,Political Party,ANC,Party Member
DR. MAGOME MASIKE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Executive Committee: Health
DR. MAGOME MASIKE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
FENNY GAOLAOLWE,,,Political Party,ANC,Party Member
FENNY GAOLAOLWE,Province,North West,Provincial Legislature,North West Provincial Legislature,"Chair of the the Education, Sports, Arts and Culture Executive Committee"
FENNY GAOLAOLWE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
GORDON KEGAKILWE,,,Political Party,ANC,Party Member
GORDON KEGAKILWE,Province,North West,Provincial Legislature,North West Provincial Legislature,Chief Whip
GORDON KEGAKILWE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
HLOMANE CHAUKE,,,Political Party,ANC,Party Member
HLOMANE CHAUKE,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the SCOPA Committee
HLOMANE CHAUKE,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
HOFFMAN GALENG,,,Political Party,ANC,Party Member
HOFFMAN GALENG,Province,North West,Provincial Legislature,North West Provincial Legislature,Acting Whip
HOFFMAN GALENG,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
JOHN DUNN FRANZSEN,,,Political Party,DA,Party Member
JOHN DUNN FRANZSEN,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
LEROI MAHLAKENG,,,Political Party,ANC,Party Member
LEROI MAHLAKENG,Province,North West,Provincial Legislature,North West Provincial Legislature,"Chair of the Human Settlement, Public Safety and Liason Committee"
LEROI MAHLAKENG,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
LOUISA LORATO MABE,,,Political Party,ANC,Party Member
