legal_name,place_type,place_name,organisation_type,organisation_name,position_title
Boers Joggie,,,Political Party,ANC,Party Member
Boers Joggie,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Bonginkosi Dlamini,,,Political Party,IFP,Party Member
Bonginkosi Dlamini,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Chueu Patricia,,,Political Party,ANC,Party Member
Chueu Patricia,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Creecy Barbara,,,Political Party,ANC,Party Member
Creecy Barbara,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Fred Nel ,,,Political Party,DA,Party Member
Fred Nel ,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Frederik Mulder,,,Political Party,FF+,Party Member
Frederik Mulder,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Gavin Lewis,,,Political Party,DA,Party Member
Gavin Lewis,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Glenda Steyn,,,Political Party,DA,Party Member
Glenda Steyn,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Hendrika Kruger,,,Political Party,DA,Party Member
Hendrika Kruger,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Hlongwa Brian,,,Political Party,ANC,Party Member
Hlongwa Brian,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Humphrey Mmemezi,,,Political Party,ANC,Party Member
Humphrey Mmemezi,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Jack Bloom,,,Political Party,DA,Party Member
Jack Bloom,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Janet Semple ,,,Political Party,DA,Party Member
Janet Semple ,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
John Moodey,,,Political Party,DA,Party Member
John Moodey,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Kalipa Ndzipho,,,Political Party,COPE,Party Member
Kalipa Ndzipho,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Kate Lorimer,,,Political Party,DA,Party Member
Kate Lorimer,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Khawe Jacob,,,Political Party,ANC,Party Member
Khawe Jacob,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Khumalo Sakhiwe,,,Political Party,ANC,Party Member
Khumalo Sakhiwe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Koorts Hermene,,,Political Party,COPE,Party Member
Koorts Hermene,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Lasindwa Lindiwe,,,Political Party,ANC,Party Member
Lasindwa Lindiwe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Lebo More,,,Political Party,DA,Party Member
Lebo More,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Les Labuschagne,,,Political Party,DA,Party Member
Les Labuschagne,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Letwaba Refiloe,,,Political Party,ANC,Party Member
Letwaba Refiloe,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Madlala Michael,,,Political Party,ANC,Party Member
Madlala Michael,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Magerman Errol,,,Political Party,ANC,Party Member
Magerman Errol,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Mahlangu Qedani,,,Political Party,ANC,Party Member
Mahlangu Qedani,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Maile Lebogang,,,Political Party,ANC,Party Member
Maile Lebogang,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
Makama Sipho,,,Political Party,ANC,Party Member
Makama Sipho,Province,Guateng,Provincial Legislature,Guateng Provincial Legislature,Provincial Legislature Member
