legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
Dr Mabasa Norman,,,Party Member,ANC,Party Member
Dr Mabasa Norman,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Dr Mateme Hunadi Euphemia,,,Party Member,ANC,Party Member
Dr Mateme Hunadi Euphemia,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: EDEAT Executive Committee
Dr Mateme Hunadi Euphemia,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Dr Nethengwe Gladys Thidziambi,,,Party Member,ANC,Party Member
Dr Nethengwe Gladys Thidziambi,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson: Road Transport Executive Committee
Dr Nethengwe Gladys Thidziambi,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Abrie Johannes Jacobus,,,Party Member,COPE,Party Member
Mr Abrie Johannes Jacobus,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Kgatjepe Maaria Ishmael,,,Party Member,ANC,Party Member
Mr Kgatjepe Maaria Ishmael,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Executive Committee: CoGsta
Mr Kgatjepe Maaria Ishmael,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Maake Emmanuel Sello,,,Party Member,ANC,Party Member
Mr Maake Emmanuel Sello,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Chairperson of Committees
Mr Maake Emmanuel Sello,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Maphoto Lesibe Isaac,,,Party Member,ANC,Party Member
Mr Maphoto Lesibe Isaac,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,Member of the Provincial Legislature
Mr Maphoto Lesibe Isaac,Province,Limpopo,Provincial Legislature,Limpopo Provincial Legislature,MPL
Mr Marule Otto Jacob,,,Party Member,ANC,Party Member
