legal_name,place_kind,place_name,organisation_kind,organisation_name,position_title
A Oosthuizen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Chair of the  Agriculture Committee
A Oosthuizen,Province,Free State,Provincial Legislature,Free State Provincial Legislature,Member of the Provincial Legislature
AUCHALIE MOTHUPI,,,Political Party,ANC,Party Member
AUCHALIE MOTHUPI,Province,North West,Provincial Legislature,North West Provincial Legislature,Chair of the Local Government and Traditional Affairs Executive Committee
AUCHALIE MOTHUPI,Province,North West,Provincial Legislature,North West Provincial Legislature,Member of the Provincial Legislature
Alan Winde,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,"Minister for Finance,Economic Development & Tourism"
Albert Fritz,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Minister for Social Development
Alfred Mtsi,Province,Eastern Cape,Political Party,ANC,Party Member
Alfred Mtsi,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Alice Nomvula Ponco,Province,Eastern Cape,Political Party,ANC,Party Member
Alice Nomvula Ponco,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Alta Rossouw,,,Political Party,DA,Party Member
Alta Rossouw,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Aesthetics Committee,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Conduct Committee,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Cultural Affairs and Sport,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Disabled and Youth Committee,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Public Accounts Committee,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Agriculture and environmental Planning,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Community Development,Alternate Member
Alta Rossouw,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Education,Alternate Member
Alta van Zyl,,,Political Party,COPE,Party Member
Alta van Zyl,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Alta van Zyl,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Agriculture and environmental Planning,Committee Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Education,Committee Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Social Development,Committee Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Legislature Committee,Petitions Committee,Alternate Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Legislature Committee,Rules Committee,Alternate Member
Alta van Zyl,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Health,Alternate Member
Angela Woodhall,Province,Eastern Cape,Political Party,COPE,Party Member
Angela Woodhall,Province,Eastern Cape,Provincial Legislature,Eastern Cape Provincial Legislature,Member
Anroux Marais,,,Political Party,DA,Party Member
Anroux Marais,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Cultural Affairs and Sport,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Disabled and Youth Committee,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Rules Committee,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Development,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Community Safety,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Premier,Committee Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Legislature Committee,Conduct Committee,Alternate Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Legislature Committee,Petitions Committee,Alternate Member
Anroux Marais,Province,Western Cape,Western Cape Provincial Legislature Committee,Standing Committee on Education,Alternate Member
Anton Bredell,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,"Minister for Local Government,Environmental Affairs & Development Planning"
Archie Figlan,,,Political Party,DA,Party Member
Archie Figlan,Province,Western Cape,Provincial Legislature,Western Cape Provincial Legislature,Member of the Provincial Legislature
Archie Figlan,Province,Western Cape,Western Cape Provincial Committee,Budget Committee,Committee Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Committee,Chairpersons’ Forum,Committee Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Committee,Disabled and Youth Committee,Committee Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Committee,Gender Committee,Committee Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Committee,Petitions Committee,Committee Member
Archie Figlan,Province,Western Cape,Western Cape Provincial Committee,Standing Committee on Finance and Economic Development,Committee Member
