Position Title,Preferred Name,Organisation,Start Date,End Date,First names,Surname
President,Jacob Zuma,National Executive,2014-05-24,future,JACOB GEDLEYIHLEKISA,ZUMA
Deputy President,Cyril Ramaphosa,National Executive,2014-05-26,future,MATAMELA CYRIL,RAMAPHOSA
Minister in the Presidency,Jeff Radebe,National Executive,2014-05-26,future,JEFFREY THAMSANQA,RADEBE
Minister of Women in the Presidency,Susan Shabangu,National Executive,2014-05-26,future,SUSAN,SHABANGU
Minister of Justice and Correctional Services,Michael Masutha,National Executive,2014-05-26,future,TSHILILO MICHAEL,MASUTHA
Minister of Public Service and Administration,Collins Chabane,National Executive,2014-05-26,future,OHM COLLINS,CHABANE
Minister of Defence and Military Veterans,Nosiviwe Mapisa-Nqakula,National Executive,2014-05-26,future,NOSIVIWE NOLUTHANDO,NQAKULA
Minister of Home Affairs,Malusi Gigaba,National Executive,2014-05-26,future,KNOWLEDGE MALUSI NKANYEZI,GIGABA
Minister of Environmental Affairs,Edna Molewa,National Executive,2014-05-26,future,BOMO EDNA EDITH,MOLEWA
Minister of State Security,David Mahlobo,National Executive,2014-05-26,future,MBANGISENI DAVID,MAHLOBO
Minister of Telecommunications and Postal Services,Siyabonga Cwele,National Executive,2014-05-26,future,SIYABONGA CYPRIAN,CWELE
Minister of Police,Nkosinathi Nhleko,National Executive,2014-05-26,future,Nkosinathi,Nhleko
Minister of Trade and Industry,Rob Davies,National Executive,2014-05-26,future,ROBERT HAYDN,DAVIES
Minister of Finance,Nhlanhla Nene,National Executive,2014-05-26,future,NHLANHLA MUSA,NENE
"Minister of Agriculture, Forestry and Fisheries",Senzeni Zokwana,National Executive,2014-05-26,future,SENZENI,ZOKWANA
Minister of Water and Sanitation,Nomvula Mokonyane,National Executive,2014-05-26,future,NOMVULA PAULA,MOKONYANE
Minister of Basic Education,Angie Motshekga,National Executive,2014-05-26,future,MATSIE ANGELINA,MOTSHEKGA
Minister of Health,Aaron Motsoaledi,National Executive,2014-05-26,future,PAKISHE AARON,MOTSOALEDI
Minister of International Relations and Cooperation,Maite Nkoana-Mashabane,National Executive,2014-05-26,future,MAITE EMILY,NKOANA-MASHABANE
Minister of Rural Development and Land Reform,Gugile Nkwinti,National Executive,2014-05-26,future,GUGILE ERNEST,NKWINTI
Minister of Higher Education and Training,Bonginkosi “Blade” Nzimande,National Executive,2014-05-26,future,BONGINKOSI EMMANUEL,NZIMANDE
Minister of Economic Development,Ebrahim Patel,National Executive,2014-05-26,future,EBRAHIM,PATEL
