Party,First Name,Last Name,Organisation,Position Title,Start Date,End Date,Place name,Preferred Name,Cell phone
AFRICAN NATIONAL CONGRESS,ELIAS SEKGOBELO,MAGASHULE,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,ELISA SISI,MABE,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,PULE HERBERT ISAK,MAKGOE,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,NOKWANJE SELINA,LEETO,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,BUTANA MOSES,KOMPHELA,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,SEFORA HIXSONIA,NTOMBELA,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,MOTETE DANIEL,KHOABANE,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,MOTLAGOMANG GRAZY,QABATHE,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,MALAMBULE SAMUEL,MASHININI,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,SARAH MATAWANA,MLAMLELI,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,MOSEBENZI JOSEPH,ZWANE,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,MALITABA SARAH,MOLELEKI,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,SIZWE ISAAK,MBALO,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,LUCY NOMBULELO,MAPENA,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,THABO PIET,MEEKO,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,ELIZABETH CORNELIA,ROCKMAN,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,BENJAMIN,MALAKOANE,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,LIMAKATSO PATRICIA,MAHASA,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,CORNELIS JOHANNES,VAN ROOYEN,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,CECILIA SHIRLEY KEDIINAMETSE,SECHOARO,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,MOJALEFA PATRICK,BUTI,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,DORA,KOTZEE,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
DEMOCRATIC ALLIANCE,ROY,JANKIELSOHN,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
DEMOCRATIC ALLIANCE,DAVID EDWARD,JANSE VAN VUUREN,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
DEMOCRATIC ALLIANCE,MARIETTE,PITTAWAY,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
DEMOCRATIC ALLIANCE,LEHLOHONOLO JAMES,LETUKA,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
DEMOCRATIC ALLIANCE,LEONA MARY,KLEYNHANS,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
ECONOMIC FREEDOM FIGHTERS,MANDISA,MAKESINI,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
ECONOMIC FREEDOM FIGHTERS,JACOB TSIETSI,TSHABALALA,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
VRYHEIDSFRONT PLUS,WOUTER WYNAND,WESSELS,Free State Provincial Legislature,Member,2014-05-21,future,Free State,,
AFRICAN NATIONAL CONGRESS,DAVID DABEDE,MABUZA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,BOY DAVID,DUBE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,MZIKAYIFANI ANDRIAS,GAMEDE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,VUSUMUZI ROBERT,SHONGWE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,MAKGABO REGINAH,MHAULE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,VIOLET SIZANI,SIWELA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,BLESSING THANDI,SHONGWE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,SIKHUMBUZO ERIC,KHOLWANE,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,NOMSA SANNY,MTSWENI,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,NORAH,MAHLANGU,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,PIET SIMON,SKHOSANA,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
AFRICAN NATIONAL CONGRESS,REFILWE MARIA,MTSHWENI,Mpumalanga Provincial Legislature,Member,2014-05-21,future,Mpumalanga,,
