Place Name,First names,Surname,Title,Party,Position Title,Start Date,End Date,Cell Phone
EASTERN CAPE,Mandla,Rayi,Mr,ANC,Delegate,2014-05-22,future,
EASTERN CAPE,Phindiwe Claribel,Mququ,Ms,ANC,Delegate,2014-05-22,future,
EASTERN CAPE,Litho,Suka,Mr,ANC,Delegate,2014-05-22,future,
EASTERN CAPE,Tabisa,Wana,Ms,ANC,Delegate,2014-05-22,future,
EASTERN CAPE,Elizabeth Christina ,Van Lingen,Ms,DA,Delegate,2014-05-22,future,
EASTERN CAPE,Lennox Bogen,Gaehler,Mr,UDM,Delegate,2014-05-22,future,
FREE STATE,Jonas Phello ,Parkies,Mr,ANC,Delegate,2014-05-22,future,
FREE STATE,Seiso Joel,Mohai,Mr,ANC,Delegate,2014-05-22,future,
FREE STATE,Manana Florence,Tlake,Ms,ANC,Delegate,2014-05-22,future,
FREE STATE,Mohapi Jihad,Mohapi,Mr,ANC,Delegate,2014-05-22,future,
FREE STATE,Lehlohonolo Goodwill,Mokoena,Mr,EFF,Delegate,2014-05-22,future,
FREE STATE,George,Michalakis,Mr,DA,Delegate,2014-05-22,future,
GAUTENG,Emmanuel Musawenkosi,Mlambo,Mr,ANC,Delegate,2014-05-22,future,
GAUTENG,Tasneem,Motara,Ms,ANC,Delegate,2014-05-22,future,
GAUTENG,Eddie ,Makue,Mr,ANC,Delegate,2014-05-22,future,
GAUTENG,Leigh-Ann,Mathys,Ms,EFF,Delegate,2014-05-22,future,
GAUTENG,Bridget Staff,Masango,Ms,DA,Delegate,2014-05-22,future,
GAUTENG,Jacques Warren William,Julius,Mr,DA,Delegate,2014-05-22,future,
KWAZULU-NATAL,Lewis Paul Musawenkosi,Nzimande,Mr,ANC,Delegate,2014-05-22,future,
KWAZULU-NATAL,Lungelwa Lynette,Zwane,Ms,ANC,Delegate,2014-05-22,future,
KWAZULU-NATAL,Aumsensingh,Singh,Mr,ANC,Delegate,2014-05-22,future,
KWAZULU-NATAL,Winile Prudence,Zondi,Ms,ANC,Delegate,2014-05-22,future,
KWAZULU-NATAL,Mntomuhle,Khawula,Mr,IFP,Delegate,2014-05-22,future,
KWAZULU-NATAL,Mergan,Chetty,Mr,DA,Delegate,2014-05-22,future,
LIMPOPO,Tsapane Kgwedi,Mampuru,Ms,ANC,Delegate,2014-05-22,future,
LIMPOPO,Hunadi Euphemia,Mateme,Dr,ANC,Delegate,2014-05-22,future,
LIMPOPO,Masefako Clarah,Dikgale,Ms,ANC,Delegate,2014-05-22,future,
LIMPOPO,Setlamorago Godfrey,Thobejane,Mr,ANC,Delegate,2014-05-22,future,
LIMPOPO,Vusiwana Emanuel,Mtileni,Mr,EFF,Delegate,2014-05-22,future,
LIMPOPO,Christiaan Frederik Beyers,Smit,Mr,DA,Delegate,2014-05-22,future,
MPUMALANGA,Landulile Cathrine,Dlamini,Ms,ANC,Delegate,2014-05-22,future,
MPUMALANGA,Simphiwe George,Mthimunye,Mr,ANC,Delegate,2014-05-22,future,
MPUMALANGA,Archibold Jomo,Nyambi,Mr,ANC,Delegate,2014-05-22,future,
MPUMALANGA,Moses Titus,Mhlanga,Mr,ANC,Delegate,2014-05-22,future,
MPUMALANGA,Younus Cassim,Vawda,Dr,EFF,Delegate,2014-05-22,future,
MPUMALANGA,Farhat,Essack,Mr,DA,Delegate,2014-05-22,future,
NORTHERN CAPE,Charel Jacobus ,De Beer,Mr,ANC,Delegate,2014-05-22,future,
NORTHERN CAPE,Johannes Raseriti,Tau,Mr,ANC,Delegate,2014-05-22,future,
NORTHERN CAPE,Galerekwe Mase,Manopole,Ms,ANC,Delegate,2014-05-22,future,
NORTHERN CAPE,Dikgang Mathews,Stock,Mr,ANC,Delegate,2014-05-22,future,
NORTHERN CAPE,Mbuyiselo April ,Matebus,Mr,EFF,Delegate,2014-05-22,future,
NORTHERN CAPE,Willem Frederik,Faber,Mr,DA,Delegate,2014-05-22,future,
NORTH WEST,Boingotlo Gerard,Nthebe,Ms,ANC,Delegate,2014-05-22,future,076 137 2684
NORTH WEST,Olifile,Sefako,Mr,ANC,Delegate,2014-05-22,future,079 582 1409
NORTH WEST,Thandi Ruth,Modise,Ms,ANC,Delegate,2014-05-22,future,
NORTH WEST,Tekoetsile Consolation,Motlashuping,Mr,ANC,Delegate,2014-05-22,future,076 173 7448
NORTH WEST,Tebogo Josephine,Mokwele,Ms,EFF,Delegate,2014-05-22,future,072 860 8024
NORTH WEST,Hermanus Bernadus,Groenewald,Mr,DA,Delegate,2014-05-22,future,082 892 9772
WESTERN CAPE,Cathlene ,Labuschagne,Ms,DA,Delegate,2014-05-22,future,
WESTERN CAPE,Johan Jaco,Londt,Mr,DA,Delegate,2014-05-22,future,
WESTERN CAPE,Eugene Jeffrey,Von Brandis,Mr,DA,Delegate,2014-05-22,future,
WESTERN CAPE,Tandi Gloria,Mpambo-Sibhukwana,Ms,DA,Delegate,2014-05-22,future,
WESTERN CAPE,Ellen,Prins,Ms,ANC,Delegate,2014-05-22,future,
WESTERN CAPE,Dumsani Livingstone,Ximbi,Mr,ANC,Delegate,2014-05-22,future,
,Thandi Ruth,Modise,Ms,ANC,Chairperson,2014-05-22,future,
,Johannes Raseriti,Tau,Mr,ANC,Deputy Chairperson,2014-05-22,future,
,Hunadi Euphemia,Mateme,Dr,ANC,Chief Whip,2014-05-22,future,
