senatorial_district,lga_areas
BAYELSA CENTRAL,KOLOKUMA/OPOKUMA,SOUTHERN IJAW,YENAGOA
BAYELSA EAST,BRASS,NEMBE,OGBIA
BAYELSA WEST,EKEREMOR,SAGBAMA
BENUE NORTH EAST,KATSINA-ALA,KONSHISHA,KWANDE,LOGO,UKUM,USHONGO,VANDEIKYA
BENUE NORTH WEST,BURUKU,GBOKO,GUMA,GWER-EAST,GWER-WEST,MARKURDI,TARKA
BENUE SOUTH,ADO,AGATU,APA,OBI,OGBADIBO,OHIMINI,OJU,OKPOKWU,OTUKPO
BORNO CENTRAL,DIKWA,JERE,KALA BALGE,MAFA,METROPOLITAN,NGALA,KONDUGA,BAMA,KAGA
BORNO NORTH,ABADAM,GUBIO,GUZAMALA,KUKAWA,MAGUMERI,MARTE,MOBBAR,NGANZA,MOGUNO
BORNO SOUTH,ASKIRA/UBA,BAYO,BIU,CHIBOK,DAMABOA,GWOZA,HAWUL,KWAYA,SHANI
CROSS RIVER CENTRAL,ABI,BOKI,ETUNG,IKOM,OBUBRA,YAKURR
CROSS RIVER NORTH,BEKWARRA,OBANLIKU,OBUDU,OGOJA,YALA,BIASE
CROSS RIVER SOUTH,CALABAR MUNICIPAL,CALABAR SOUTH,AKAMKPA,AKPABUYO,BAKASSI,ODUKPANI
DELTA CENTRAL,ETHIOPE EAST,ETHIOPE WEST,OKPE,SAPELE,UDU,UGHELLI NORTH,UGHELI SOUTH,UVWIE
DELTA NORTH,ANIOCHA NORTH,ANIOCHA SOUTH,IKA NORTH-EAST,IKA SOUTH,NDOKWA EAST,NDOKWA WEST,OSHIMILI NORTH,OSHIMILI SOUTH,UKWUANI
DELTA SOUTH,BOMADI,BURUTU,ISOKO NORTH,ISOKO SOUTH,PATANI,WARRI NORTH,WARRI SOUTH,WARRI SOUTH WEST
EBONYI SOUTH,AFIKPO NORTH,AFIKPO SOUTH,IVO,OHAOZARA,ONICHA
EBONYI CENTRAL,EZZA NORTH,EZZA SOUTH,IKWO,ISHIELU
EBONYI NORTH,ABAKALIKI,EBONYI,IZZI,OHAUKWU
EDO SOUTH,OREDO,ORHIONMWON,OVIA NORTH EAST,OVIA SOUTH WEST,EGOR,UHUNMWODE,IKPOBA OKHA
EDO CENTRAL,ESAN CENTRAL,ESAN NORTH EAST,ESAN SOUTH EAST,ESAN WEST,IGUEBEN
EDO NORTH,AKOKO EDO,ETSAKO EAST,ETSAKO CENTRAL,ETSAKO WEST,OWAN EAST,OWAN WEST
EKITI SOUTH,EKITI SOUTH WEST,IKERE,EMURE,ISE/ORUN,GBONYIN,EKITI EAST
EKITI CENTRAL,ADO EKITI,IREPODUN/IFELODUN,IJERO,EFON,EKITI WEST
EKITI NORTH,IKOLE,OYE,IDO/OSI,MOBA,ILEJEMEJE
ENUGU NORTH,IGBO-ETITI,IGBO-EZE NORTH,IGO-EZE SOUTH,UZO UWANI,UDENU,NSUKKA
ENUGU EAST,ENUGU EAST,ENUGU NORTH,ENUGU SOUTH,ISI-UZO,NKANU EAST,NKANU WEST
ENUGU WEST,ANINIRI,AWGU,EZEAGU,OJI RIVER,UDI
FEDERAL CAPITAL TERRITORY,ABAJI AREA COUNCIL,GWAGWA AREA COUNCIL,KUJE AREA COUNCIL,MUNICIPAL AREA COUNCIL,KWALI AREA COUNCIL,BWARI AREA COUNCIL
GOMBE CENTRAL,AKKO,YAMALTU/DEBA
GOMBE NORTH,FUNAKAYE,NAFADA,GOMBE,KWAMI,DUKKU
GOMBE SOUTH,BALANGA,BILLIRI,KALTUNGO,SHONGOM
IMO EAST,ABOH MBAISE,AHIAZU MBAISE,EZINIHITTE,IKEDURU,MBAITOLI,NGOR OKPALA,OWERRI MUNICIPAL,OWERRI NORTH,OWERRI WEST
IMO NORTH,EHIME MBANO,IHITE/UBOMA,ISIALA MBANO,OBOWO,OKIGWE,ONUIMO
IMO WEST,IDEATO NORTH,IDEATO SOUTH,ISU,NJABA,NKWERE,NWANGELE,OGUTA,OHAJI/EGBEMA,ORLU,ORSU,ORU WEST,ORU EAST
JIGAWA NORTH - WEST,BABURA,GAGARA,GARKI,GWIWA,KAZAURE,MAIGATAR,RONI,RINGIN,S/TANKAR,TAURA,YANKWASHI,GUME
JIGAWA NORTH – EAST,AUYO,BIRNIWA,GURI,HADEJIA,KAUGAMA,K/HAUSA,K/KASAMMA,M/MADORI
JIGAWA SOUTH – WEST,BIRNIN KUDU,BUJI,DUTSE,GWARAM,KIYAWA,JAUN,MIGA
KADUNA CENTRAL,BIRNIN GWARI,GIWA,IGABI,KADUNA NORTH,KADUNA SOUTH,CHIKUN,KAJURU
KADUNA NORTH,KUBAU,IKARA,MAKARFI,SOBA,SABON GARI,ZARIA,LERE,KUDAN
KADUNA SOUTH,JEMA’A,JABA,KAURA,ZANGON,KAURA,KACHIA,KAGARKO,SANGA
KANO SOUTH,ALBASU,BEBEJI,BUNKURE,DOGUWA,GAYA,KIRU,RANO,TAKAI,AJINGI,ROGO,KIBIYA,TUDUN WADA,GARKO,WUDIL,SUMAILA
KANO CENTRAL,DALA,GWALE,DAWAKIN,GEZAWA,TARAUNI,FAGGE,GARUM MALLAM,KANO MUNICIPAL,KUMBOTSO,KURA,MADOBI,MINJIBIR,NASSARAWA,UNGOGO,WARAWA
KANO NORTH,BICHI,SHANONO,BAGWAI,DANBATTA,MAKODA,DAWAKIN,GABASAWA,GWARZO,KABO,RIMI GADO,TOFA,TSANYAWA,KUNCHI,KARAYE
KATSINA CENTRAL,KATSINA,KAITA,JIBIA,BATSARI,SAFANA,DUTSIN-MA,KURFI,BATAGARAWA,RIMI,CHARANCHI,DANMUSA
KATSINA NORTH,DAURA,ZANGO,MAIADUA,MASHI,MANI,INGAWA,BINDAWA,SANDAMU,DUTSI,KANKIA,KUSADA,BAURE
KATSINA SOUTH,FUNTUA,FASKARI,DANJA,DANDUME,BAKORI,KANKARA,MALUMEFASHI,KAFUR,MUSAWA,MATAZU,SABUWA
KEBBI CENTRAL,ALEIRO,BIRNIN KEBBI,BUNZA,GWANDU,KALGO,KOKO BESSE,MAIYAMA
KEBBI NORTH,AREWA,ARGUNGU,AUGIE,BAGUDO,DANDI,SURU,JEGA
KEBBI SOUTH,FAKAI,NGASKI,SAKABA,SHANGA,WASAGU/DANKO,YAURI,ZURU
KOGI CENTRAL,ADAVI,AJAOKUTA,OGORI/MAGONGO,OKEHI,OKENE
KOGI EAST,ANKPA,BASSA,DEKINA,IBAJI,IDAH,IGALAMELA-ODOLU,OFU,OLAMABORO,OMALA
KOGI WEST,IJUMU,KABBA,KOGI,LOKOJA,MOPAMURO,YAGBA EAST,YAGBA WEST
KWARA CENTRAL,ASA,ILORIN EAST,ILORIN SOUTH,ILORIN WEST,OFFA
KWARA NORTH,BARUTEN,EDU,PATIGI,KAIAMA,MORO
KWARA SOUTH,EKITI,OKE-ERO,IFELODUN,IREPODUN,ISIN,OYUN
LAGOS WEST,AGEGE,IFAKO-IJAYE,ALIMOSHO,BADAGRY,OJO,AJEROMI/IFELODUN,AMUWO-ODOFIN,OSHODI/ISOLO,IKEJA,MUSHIN
LAGOS CENTRAL,LAGOS ISLAND,LAGOS MAINLAND,SURULERE,APAPA,ETI-OSA
LAGOS EAST,SHOMOLU,KOSOFE,EPE,IBEJU-LEKKI,IKORODU
NASSARAWA SOUTH,LAFIA,AWE,DOMA,KEANA,OBI
NASSARAWA NORTH,AKAWANGA,NASSARAWA EGGON,WAMBA
NASSARAWA WEST,NASSARAWA,KEFFI,KOKONA,KARU,TOTO
NIGER EAST,BOSSO,CHACHANGA,GURARA,PAIKORO,RAFI,SHIRORO,MUYA,SULEJA,TAFA
NIGER NORTH,AGWARA,BORGU,KONTOGORA,MARIGA,RIJAU,WUSHISHI,MASHEGU MAGAMA
NIGER SOUTH,AGAIE,BIDA,KATCHA,BATAGI,LAPAI,LAVUN,EDATI-IDATI,MOKWA
OGUN CENTRAL,IFO,EWEKORO,OBAFEMI/OWODE,ABEOKUTA NORTH,ABEOKUTA SOUTH,ODEDA
OGUN EAST,SAGAMU,IKENNE,REMO NORTH,IJEBU-ODE,ODOGBOLU,IJEBU NORTH EAST,IJEBU NORTH,IJEBU EAST,OGUN WATERSIDE
OGUN WEST,IMEKO AFON,EGBADO NORTH,EGBADO SOUTH,IPOKIA,ADO-ODO/OTA
ONDO CENTRAL,AKURE NORTH,AKURE SOUTH,IFEDORE,IDANRE,ONDO EAST,ONDO WEST
ONDO NORTH,AKOKO NORTH EAST,AKOKO NORTH WEST,AKOKO SOUTH WEST,AKOKO SOUTH EAST,OSE,OWO
ONDO SOUTH,ILEOLUJI/OKEIGBO,ODIGBO,IRELE,OKITIPUPA,ESE-ODO,ILAJE
OSUN CENTRAL,BORIPE,BOLOWADURO,IFELODUN,ILA,IFEDAYO,IREPODUN,OROLU,ODO-OTIN,OLORUNDA,OSOGBO
OSUN EAST,ATAKUNMOSA EAST,ATAKUNMOSA WEST,IFE CENTRAL,IFE EAST,IFE NORTH,IFE SOUTH,ILESA EAST,ILESA WEST,OBOKUN,ORIADE
OSUN WEST,AYADAADE,AYEDIRE,EDE NORTH,EDE SOUTH,EGBEDORE,EJIGBO,IREWOLE,ISOKAN,IWO,OLA-OLUWA
OYO CENTRAL,AFIJIO,AKINYELE,EGBEDA,OGO OLUWA,SURULERE,LAGELU,OLUYOLE,ONA-ARA,OYO EAST,OYO WEST,ATIBA
OYO NORTH,SAKI WEST,SAKI EAST,ATIGBO,IREPO,OLORUNSOGO,KAJOLA,IWAJOWA,OGBOMOSHO NORTH,OGBOMOSHO SOUTH,ISEYIN,OORELOPE,ORIRE,ITESIWAJU
OYO SOUTH,IBADAN NORTH,IBADAN NORTH EAST,IBADAN NORTH WEST,IBADAN SOUTH EAST,IBADAN SOUTH WEST,IBARAPA CENTRAL,IBARAPA NORTH,IBARAPA EAST,IDO
PLATEAU CENTRAL,BOKKOS,KANKE,MANGU,PANKSHIN,KANAM
PLATEAU NORTH,BARKIN LADI,BASSA,JOS EAST,JOS NORTH,JOS SOUTH,RIYOM
PLATEAU SOUTH,LANTANG NORTH,LANTANG SOUTH,MIKANG,QUA’AN PAN,SHENDAM,WASE
RIVERS EAST,ETCHE,OMUMA,IKWERRE,OBIO AKPOR,PORT HARCOURT,OKIRIKA,OGU BOLO,EMOHUA
RIVERS SOUTH EAST,OPOBO/NKORO,ANDONI,OYIGBO,TAI,ELEME,GOKANA,KHANA
RIVERS WEST,ASARI-TORU,AKUKU-TORU,DEGEMA,OGBA/EGBEMA/NDONI,ABUA-ODUAL,AHOADA EAST,AHOADA WEST,BONNY
SOKOTO EAST,ISA,SABON BIRNI,WURNO,GORONYO,RABAH,GADA,ILLELA,GWADABAWA
SOKOTO NORTH,TANGAZA,BINJI,SILAME,GUDU,KWARE,WAMAKKO,SOKOTO NORTH,SOKOTO SOUTH
SOKOTO SOUTH,DANGE SHUNI,TURETA,BODINGA,SHAGARI,YABO,TAMBUWA,KEBBE
TARABA CENTRAL,SARDAUNA,KURMI,BALI,GASHAKA,GASSOL
TARABA NORTH,JALINGO,YORRO,ZING,LAU,ARDO-KOLA,KARIM-LAMIDO
TARABA SOUTH,WUKARI,IBI,DONGA,USSA,TAKUM
YOBE EAST,BURSARI,GEIDAM,GUJBA,GULANI,TARMUWA,YUNUSARI
YOBE NORTH,BADE,JAKUSKO,MACHINA,KARASUWA,NGURU,YUSUFARI
YOBE SOUTH,FIKA,FUNE,NANGERE,POTISKUM,DAMATURU
ZAMFARA CENTRAL,GUSAU,TSAFE,BUNGUDU,MARU
ZAMFARA NORTH,K/NAMODA,SHINKAFI,ZURMI,BIRNIN MAGAJI,T/MAFARA
ZAMFARA WEST,MARADUN,BAKURA,ANKA,BUKKUYUM,GUMMI
