Party,Finance,Econ Dev & Tourism,SCOPA    ,Premier & Royal Household,Loc Gvt & Traditional Affairs,Works,Human Settlement,Comm Safety & Liaison,Transport,
ANC,Hlongwa L,Gcabashe S,Kaunda TM  ,,Duma SA,Tambo VV,Noel V,Noel N,Bebee L,
ANC,Ntombela N,Nahara YM,Mckay PM,Dube V,Mkhize L,Blose HM,Khuzwayo DN,Singh A,Dlamini DD,
ANC,Zwane LL,Mlabaza Z,Singh A,Ntuli M,Scott BF,Hlongwa L,Govender M,Ngxongo H,Maharaj R,
IFP,Gwala MB ,Mtshali LPHM,Mncwango LA,de Klerk LJ,Gwala MB,Shabalala NB,Madlala MZN,Mtshali LPHM,Msimango NP,
IFP,Mncwango LA,Khawula M,Gwala MB,Buthelezi ME,Madlala MZN,Combrinck HL,Naicker SV,Nkwanyana NJ,Moodley S,
IFP,Govender P,Nkwanyana NJ,Govender P,Combrinck HL,Mthethwa TP,Mazibuko J,Combrinck HL,Msimango NP,Khawula  M,
DA,Stokes T,Steele M,Mchunu S,Krog J,Keys R,Mari G,Keys R,Krog J,Mari G,
MF,,Thakur-Rajbansi S,,,,Thakur-Rajbansi S,,Thakur-Rajbansi S,,
COPE,Gabela LS,,Gabela LS,Gabela LS,Gabela LS,,,,,
ACDP,,Downs JM,,Downs JM,,Downs JM,Downs JM,,,
